Tag	Monat	Jahr	Zahl1A	Zahl2A	Zahl3A	Zahl4A	Zahl5A	Zahl6A	ZusatzzahlA	Zahl1B	Zahl2B	Zahl3B	Zahl4B	Zahl5B	Zahl6B	ZusatzzahlB	Superzahl1	Superzahl2
4	10	1989	12	30	18	37	48	9	4		16	3	45	18	6	26	40		 	
11	10	1989	36	3	27	40	24	46	22		29	12	7	49	46	41	9		 	
18	10	1989	26	47	17	23	25	1	13		39	49	2	45	33	20	28		 	
25	10	1989	26	47	20	2	42	22	40		31	25	47	18	29	36	3		 	
1	11	1989	33	32	1	40	39	28	13		25	16	38	39	18	48	20		 	
8	11	1989	45	14	25	18	33	29	41		25	31	29	16	49	37	44		 	
15	11	1989	25	44	36	2	30	34	47		42	8	30	31	10	33	24		 	
22	11	1989	24	37	28	43	30	49	39		32	38	29	12	46	14	30		 	
29	11	1989	7	2	36	27	46	20	31		48	4	47	25	2	10	37		 	
6	12	1989	22	29	9	40	16	30	33		14	15	34	28	19	5	30		 	
13	12	1989	45	49	39	33	46	30	41		24	49	20	7	27	5	6		 	
20	12	1989	19	6	42	41	40	43	33		41	28	29	36	26	18	15		 	
27	12	1989	3	4	2	43	12	26	13		9	12	2	16	46	38	29		 	
3	1	1990	29	15	1	25	16	45	2		46	5	6	3	43	15	11		 	
10	1	1990	13	34	21	17	42	44	15		11	14	43	6	41	25	42		 	
17	1	1990	37	33	20	22	24	43	44		15	3	25	26	22	46	36		 	
24	1	1990	31	16	13	7	5	21	33		20	7	3	38	15	22	43		 	
31	1	1990	1	26	33	15	41	43	29		2	22	14	31	5	4	44		 	
7	2	1990	33	47	10	12	38	36	32		8	10	49	44	48	27	9		 	
14	2	1990	40	49	35	20	16	39	13		42	37	40	12	18	34	33		 	
21	2	1990	11	10	38	9	8	46	33		7	30	17	35	1	49	12		 	
28	2	1990	3	31	37	15	44	19	21		49	38	36	22	14	1	26		 	
7	3	1990	42	10	44	12	19	16	13		10	12	8	42	18	3	27		 	
14	3	1990	27	25	7	45	13	43	21		10	40	28	45	33	38	3		 	
21	3	1990	34	23	22	40	7	21	24		32	4	26	49	36	3	31		 	
28	3	1990	38	49	30	11	48	21	24		27	7	6	13	25	23	20		 	
4	4	1990	9	25	41	18	15	28	8		42	19	32	11	5	39	8		 	
11	4	1990	3	33	6	18	36	44	21		4	26	35	49	13	44	23		 	
18	4	1990	37	48	29	35	39	3	16		33	14	43	27	38	44	18		 	
25	4	1990	29	9	8	38	48	17	19		44	20	5	12	38	22	4		 	
2	5	1990	22	49	34	46	15	43	32		32	43	49	26	22	28	19		 	
9	5	1990	24	6	15	49	11	13	18		48	43	4	25	27	9	29		 	
16	5	1990	16	1	40	3	6	12	9		22	46	3	30	2	45	38		 	
23	5	1990	17	25	47	30	7	18	33		1	30	20	44	29	3	41		 	
30	5	1990	41	28	24	38	49	20	23		42	20	12	28	4	19	13		 	
6	6	1990	16	12	39	34	23	31	38		44	14	49	34	22	16	20		 	
13	6	1990	14	6	19	41	8	15	26		15	32	8	41	44	2	10		 	
20	6	1990	21	28	2	47	33	36	32		36	33	28	46	9	15	35		 	
27	6	1990	35	6	21	10	3	28	40		24	16	12	4	3	44	22		 	
4	7	1990	45	34	36	2	26	9	28		44	8	40	27	11	25	21		 	
11	7	1990	31	35	29	11	36	20	19		30	17	28	25	4	46	35		 	
18	7	1990	1	49	34	4	11	47	3		2	42	16	33	32	9	25		 	
25	7	1990	47	44	13	42	28	22	4		5	14	39	12	15	6	40		 	
1	8	1990	30	25	13	4	31	17	35		9	5	8	13	37	30	39		 	
8	8	1990	22	33	10	21	46	11	9		14	17	26	43	20	45	1		 	
15	8	1990	47	30	36	11	34	31	45		27	28	41	19	45	37	7		 	
22	8	1990	47	18	19	41	14	6	4		34	3	17	23	5	7	46		 	
29	8	1990	1	4	20	33	17	25	49		21	26	27	37	34	8	10		 	
5	9	1990	27	19	43	28	14	46	39		1	41	19	18	2	22	44		 	
12	9	1990	22	5	6	3	41	15	7		2	35	13	27	43	14	45		 	
19	9	1990	30	15	22	31	44	46	19		31	5	40	35	29	16	43		 	
26	9	1990	37	47	12	11	13	44	31		7	37	44	10	1	23	17		 	
3	10	1990	25	17	20	12	38	8	23		43	46	49	25	12	3	18		 	
10	10	1990	37	35	1	43	18	6	29		26	4	9	33	36	2	29		 	
17	10	1990	38	23	29	32	33	13	24		1	44	38	24	4	21	49		 	
